case_id,inference_time,case_time,preprocessing_time
19_16230,0.17745065689086914,0.18738317489624023,0.009932518005371094
19_16292,0.17694354057312012,0.18686699867248535,0.009923458099365234
19_16354,0.17777061462402344,0.18826627731323242,0.010495662689208984
19_16651,0.18006515502929688,0.1903233528137207,0.010258197784423828
19_16948,0.1805117130279541,0.19066286087036133,0.010151147842407227
19_17244,0.17742681503295898,0.1802968978881836,0.0028700828552246094
19_17541,0.17941856384277344,0.1901865005493164,0.010767936706542969
19_17589,0.18085885047912598,0.19144177436828613,0.010582923889160156
19_17637,0.18498802185058594,0.195662260055542,0.010674238204956055
19_17684,0.17883920669555664,0.18859362602233887,0.009754419326782227
19_17732,0.17657876014709473,0.1864299774169922,0.009851217269897461
19_17798,0.17871308326721191,0.18900060653686523,0.01028752326965332
19_17864,0.18154072761535645,0.19288921356201172,0.011348485946655273
19_17930,0.18024206161499023,0.18956685066223145,0.009324789047241211
19_17996,0.1802818775177002,0.19065570831298828,0.010373830795288086
19_18018,0.17801737785339355,0.18820619583129883,0.010188817977905273
19_18040,0.19207262992858887,0.2038261890411377,0.011753559112548828
19_18062,0.1818070411682129,0.19234061241149902,0.010533571243286133
19_18084,0.17955780029296875,0.18944692611694336,0.00988912582397461
19_18234,0.18726134300231934,0.19755005836486816,0.010288715362548828
19_18383,0.17887306213378906,0.18173813819885254,0.0028650760650634766
19_18533,0.1846015453338623,0.19423198699951172,0.009630441665649414
19_18682,0.17891645431518555,0.18908071517944336,0.010164260864257812
19_18825,0.18005847930908203,0.19072628021240234,0.010667800903320312
19_18967,0.18056702613830566,0.19111847877502441,0.01055145263671875
19_19110,0.17755603790283203,0.18699932098388672,0.009443283081054688
19_19252,0.17806577682495117,0.18863534927368164,0.010569572448730469
19_19349,0.1810462474822998,0.19174695014953613,0.010700702667236328
19_19446,0.1802537441253662,0.1833345890045166,0.0030808448791503906
19_19543,0.17862844467163086,0.18948054313659668,0.01085209846496582
19_19640,0.1739943027496338,0.18397903442382812,0.009984731674194336
19_19704,0.1795487403869629,0.1900627613067627,0.010514020919799805
19_19767,0.18163633346557617,0.19276857376098633,0.011132240295410156
19_19831,0.18156719207763672,0.19208598136901855,0.010518789291381836
19_19894,0.18174266815185547,0.19153451919555664,0.009791851043701172
19_19948,0.1796262264251709,0.18962836265563965,0.01000213623046875
19_20001,0.18059158325195312,0.19111013412475586,0.010518550872802734
19_20055,0.18424201011657715,0.19414448738098145,0.009902477264404297
19_20108,0.18179011344909668,0.19265079498291016,0.010860681533813477
19_20377,0.1793808937072754,0.19017314910888672,0.010792255401611328
19_20646,0.1820995807647705,0.19298195838928223,0.010882377624511719
19_20914,0.1786055564880371,0.18854522705078125,0.00993967056274414
19_21183,0.18747162818908691,0.19052529335021973,0.0030536651611328125
19_21483,0.18085789680480957,0.19108200073242188,0.010224103927612305
19_21784,0.18183541297912598,0.19150328636169434,0.00966787338256836
19_22084,0.1794271469116211,0.18305349349975586,0.0036263465881347656
19_22384,0.18109512329101562,0.19191741943359375,0.010822296142578125
19_22419,0.1787886619567871,0.18949532508850098,0.010706663131713867
19_22454,0.17760729789733887,0.18948841094970703,0.011881113052368164
19_22488,0.18645620346069336,0.18941640853881836,0.002960205078125
19_22523,0.1765296459197998,0.18580222129821777,0.009272575378417969
19_22575,0.18074369430541992,0.19025850296020508,0.009514808654785156
19_22627,0.1780261993408203,0.18775153160095215,0.009725332260131836
19_22678,0.17941784858703613,0.18271183967590332,0.0032939910888671875
19_22730,0.1796410083770752,0.1903378963470459,0.010696887969970703
19_22794,0.180983304977417,0.19183611869812012,0.010852813720703125
19_22858,0.18390965461730957,0.19541358947753906,0.011503934860229492
19_22921,0.17865824699401855,0.1891164779663086,0.010458230972290039
19_22985,0.1768171787261963,0.1871356964111328,0.010318517684936523
19_23062,0.17707204818725586,0.18006038665771484,0.0029883384704589844
19_23139,0.17883014678955078,0.18182945251464844,0.0029993057250976562
19_23216,0.17496252059936523,0.1850719451904297,0.010109424591064453
19_23293,0.1778888702392578,0.18773245811462402,0.009843587875366211
19_23455,0.17894268035888672,0.1886904239654541,0.009747743606567383
19_23617,0.1781003475189209,0.18801641464233398,0.009916067123413086
19_23778,0.17858362197875977,0.18833160400390625,0.009747982025146484
19_23940,0.1770021915435791,0.18635821342468262,0.009356021881103516
19_23989,0.1817922592163086,0.18483757972717285,0.003045320510864258
19_24038,0.1831066608428955,0.1923372745513916,0.009230613708496094
19_24087,0.18028020858764648,0.19049072265625,0.010210514068603516
19_24136,0.17830991744995117,0.18867254257202148,0.010362625122070312
19_24195,0.17696666717529297,0.18671131134033203,0.009744644165039062
19_24253,0.17991113662719727,0.18342947959899902,0.003518342971801758
19_24312,0.18022561073303223,0.19080162048339844,0.010576009750366211
19_24370,0.17740893363952637,0.1877145767211914,0.010305643081665039
19_24458,0.18197917938232422,0.18480610847473145,0.0028269290924072266
19_24547,0.1793811321258545,0.18249964714050293,0.0031185150146484375
19_24635,0.18009638786315918,0.1894979476928711,0.009401559829711914
19_24723,0.31702256202697754,0.32805418968200684,0.011031627655029297
19_24873,0.17948198318481445,0.19018936157226562,0.010707378387451172
19_25023,0.17871713638305664,0.18241071701049805,0.0036935806274414062
19_25173,0.1807880401611328,0.19020700454711914,0.009418964385986328
19_25323,0.17871332168579102,0.18909835815429688,0.01038503646850586
19_25555,0.17994046211242676,0.18279600143432617,0.002855539321899414
19_25787,0.17385458946228027,0.18445682525634766,0.010602235794067383
19_26019,0.1817464828491211,0.1852879524230957,0.0035414695739746094
19_26251,0.17919707298278809,0.19004464149475098,0.01084756851196289
19_26291,0.18142485618591309,0.19220519065856934,0.01078033447265625
19_26331,0.181046724319458,0.19168496131896973,0.010638236999511719
19_26371,0.18091416358947754,0.19123339653015137,0.010319232940673828
19_26411,0.1786196231842041,0.18831896781921387,0.009699344635009766
19_26471,0.17941665649414062,0.18305730819702148,0.0036406517028808594
19_26532,0.17882776260375977,0.1889173984527588,0.010089635848999023
19_26592,0.1782383918762207,0.1890861988067627,0.010847806930541992
19_26652,0.1803903579711914,0.19107818603515625,0.010687828063964844
19_26721,0.18091225624084473,0.19206714630126953,0.011154890060424805
19_26789,0.17675399780273438,0.18621492385864258,0.009460926055908203
19_26858,0.17671847343444824,0.18601155281066895,0.009293079376220703
19_26926,0.17793703079223633,0.18072915077209473,0.0027921199798583984
19_27112,0.17833948135375977,0.1816263198852539,0.0032868385314941406
